sp_code,elev_code,sp_elev,mean_tau,mean_pvalue_mk,mean_senslope,mean_pvalue_sen,ypos,p_value_string,taulabel
halepensis,high,halepensis_high,0.24624624848365784,0.03301858901977539,8.378764495499657e-4,0.033018552003800605,0.5,*,"tau == ""0.25*"""
halepensis,low,halepensis_low,-0.036036036908626556,0.7635561227798462,-1.9068525769412362e-4,0.7635561283061164,0.45,,"tau == ""-0.04"""
halepensis,medium,halepensis_medium,0.2132132202386856,0.06516528129577637,7.737600189460153e-4,0.0651653263767673,0.475,,"tau == ""0.21"""
nigra,high,nigra_high,0.7269842028617859,0,0.0026086856212049255,4.823287302795654e-10,0.5,***,"tau == ""0.73***"""
nigra,low,nigra_low,0.36636635661125183,0.0014821290969848633,0.0012827435881144157,0.0014820878099114875,0.45,**,"tau == ""0.37**"""
nigra,medium,nigra_medium,0.49849849939346313,1.5020370483398438e-05,0.0013627518398654699,1.4971336725321082e-5,0.475,***,"tau == ""0.5***"""
pinaster,high,pinaster_high,0.6096096038818359,1.1920928955078125e-7,0.0043081508774887554,1.1775493207661924e-7,0.5,***,"tau == ""0.61***"""
pinaster,low,pinaster_low,0.3963963985443115,5.822181701660156e-4,0.0017518363692266363,5.822608927831489e-4,0.45,***,"tau == ""0.4***"""
pinaster,low2,pinaster_low2,0.4744744598865509,3.790855407714844e-5,0.001580193602446819,3.791231209624539e-5,0.425,***,"tau == ""0.47***"""
pinaster,medium,pinaster_medium,0.3033033013343811,0.008567333221435547,0.0012607323532679254,0.008567285246380816,0.475,**,"tau == ""0.3**"""
sylvestris,high,sylvestris_high,0.6066066026687622,1.1920928955078125e-7,0.002779758903740882,1.3583846943552365e-7,0.5,***,"tau == ""0.61***"""
sylvestris,low,sylvestris_low,0.0030030030757188797,0.9895648956298828,4.591043730484288e-6,0.9895648601306644,0.45,,"tau == ""0"""
sylvestris,medium,sylvestris_medium,0.19819819927215576,0.08665120601654053,7.448343563338806e-4,0.08665121458761962,0.475,,"tau == ""0.2"""
