system:time_start,PIHAL_NACIMIENTO_M,PINIG_LANTEIRA_M,PINIG_LANTEIRA_L2,PINIG_LANTEIRA_H,PIPIN_LANTEIRA_L2,PIPIN_JEREZ_L,PIPIN_JEREZ_M,PIPIN_JEREZ_H,PISYL_PORTUGOS_L,PISYL_PORTUGOS_M,PISYL_PORTUGOS_H,PIHAL_NACIMIENTO_L,PIHAL_RAGUA_H
"Aug 1, 1984",0.286,0.499,0.336,0.308,0.298,0.484,0.437,0.213,0.647,0.705,0.432,0.239,0.317
"Aug 1, 1986",0.309,0.537,0.411,0.101,0.323,0.502,,,0.601,0.654,0.45,0.276,0.469
"Aug 1, 1987",0.339,0.55,0.496,0.437,0.426,0.519,0.607,0.368,0.601,0.667,0.424,0.326,0.428
"Aug 1, 1988",0.397,0.55,0.525,0.458,0.449,0.527,0.617,0.417,0.613,0.666,0.477,0.366,0.439
"Aug 1, 1989",0.408,0.544,0.464,0.417,0.397,0.476,0.608,0.424,0.632,0.678,0.529,0.387,0.438
"Aug 1, 1990",0.454,0.58,0.54,0.506,0.444,0.507,0.619,0.432,0.638,0.658,0.47,0.429,0.491
"Aug 1, 1991",0.344,0.544,0.504,0.459,0.422,0.456,0.558,0.475,0.598,0.615,0.525,0.423,0.414
"Aug 1, 1992",0.389,0.536,0.508,0.407,0.433,0.485,0.545,0.468,0.605,0.627,0.539,0.44,0.432
"Aug 1, 1993",0.44,0.509,0.495,0.386,0.419,0.467,0.536,0.425,0.604,0.625,0.516,0.442,0.433
"Aug 1, 1994",0.448,0.56,0.525,0.48,0.443,0.477,0.585,0.52,0.634,0.654,0.616,0.443,0.463
"Aug 1, 1995",0.451,0.569,0.543,0.498,0.432,0.468,0.564,0.499,0.634,0.656,0.635,0.425,0.456
"Aug 1, 1996",0.45,0.583,0.545,0.485,0.425,0.482,0.581,0.5,0.539,0.591,0.54,0.465,0.491
"Aug 1, 1997",0.493,0.606,0.577,0.51,0.457,0.498,0.625,0.54,0.546,0.602,0.546,0.518,0.501
"Aug 1, 1998",0.515,0.57,0.58,0.443,0.546,0.617,0.678,0.597,0.637,0.683,0.577,0.504,0.583
"Aug 1, 1999",0.485,0.573,0.559,0.432,0.486,0.559,0.637,0.535,0.618,0.651,0.547,0.443,0.509
"Aug 1, 2000",0.451,0.594,0.58,0.503,0.505,0.539,0.631,0.57,0.622,0.659,0.607,0.422,0.488
"Aug 1, 2001",0.467,0.598,0.581,0.522,0.491,0.546,0.641,0.583,0.657,0.694,0.594,0.438,0.487
"Aug 1, 2002",0.475,0.591,0.562,0.542,0.487,0.542,0.65,0.576,0.635,0.679,0.599,0.453,0.483
"Aug 1, 2003",0.478,0.598,0.583,0.505,0.502,0.568,0.673,0.591,0.676,0.708,0.576,0.449,0.521
"Aug 1, 2004",0.529,0.59,0.604,0.507,0.524,0.605,0.698,0.614,0.717,0.728,0.626,0.527,0.535
"Aug 1, 2005",0.5,0.578,0.571,0.452,0.464,0.54,0.653,0.566,0.63,0.665,0.603,0.509,0.496
"Aug 1, 2006",0.49,0.6,0.534,0.538,0.487,0.543,0.646,0.578,0.64,0.671,0.635,0.495,0.478
"Aug 1, 2007",0.492,0.592,0.531,0.546,0.47,0.516,0.64,0.561,0.637,0.664,0.62,0.462,0.495
"Aug 1, 2008",0.535,0.589,0.521,0.54,0.469,0.511,0.627,0.542,0.64,0.671,0.618,0.465,0.503
"Aug 1, 2009",0.523,0.597,0.536,0.534,0.455,0.521,0.641,0.548,0.573,0.672,0.602,0.462,0.482
"Aug 1, 2010",0.526,0.607,0.554,0.534,0.481,0.552,0.657,0.59,0.635,0.705,0.641,0.496,0.494
"Aug 1, 2011",0.592,0.636,0.594,0.519,0.55,0.62,0.697,0.641,0.663,0.716,0.657,0.559,0.576
"Aug 1, 2012",0.546,0.538,0.492,0.494,0.505,0.597,0.674,0.59,0.645,0.688,0.643,0.492,0.529
"Aug 1, 2013",0.562,0.627,0.562,0.572,0.552,0.618,0.71,0.647,0.71,0.773,0.68,0.484,0.528
"Aug 1, 2014",0.536,0.647,0.582,0.561,0.543,0.611,0.718,0.672,0.708,0.757,0.709,0.478,0.503
"Aug 1, 2015",0.528,0.633,0.591,0.574,0.523,0.596,0.693,0.637,0.692,0.732,0.66,0.429,0.475
"Aug 1, 2016",0.516,0.609,0.529,0.555,0.467,0.54,0.651,0.584,0.657,0.701,0.646,0.391,0.454
"Aug 1, 2017",0.534,0.603,0.558,0.557,0.482,0.533,0.641,0.588,0.669,0.711,0.662,0.436,0.503
"Aug 1, 2018",0.567,0.616,0.614,0.606,0.534,0.609,0.665,0.634,0.693,0.74,0.715,0.487,0.554
"Aug 1, 2019",0.536,0.594,0.6,0.586,0.533,0.606,0.642,0.635,0.644,0.698,0.688,0.494,0.525
"Aug 1, 2020",0.525,0.618,0.615,0.596,0.53,0.597,0.656,0.635,0.677,0.729,0.696,0.454,0.506
"Aug 1, 2021",0.533,0.603,0.616,0.631,0.513,0.573,0.637,0.609,0.683,0.722,0.708,0.461,0.478
