Specie,site_code,site,soil_type,soil_name,lucdeme_codigo_fao,lucdeme_codigo_fao_dom,lucdeme_codigo_fao_in,lucdeme_nombre_fao_dom1,lucdeme_nombre_fao_dom2,lucdeme_nombre_fao_inc1,lucdeme_nombre_fao_inc2,lucdeme_nombre_fao_inc3
halepensis,PIHAL_NACIMIENTO_L,PIHAL_LOW,32,"Cambisoles éutricos, Regosoles éutricos y Luvisoles crómicos con Litosoles",LPliRGeu/,LPliRGeu,,Leptosoles líticos,Regosoles eútricos,,,
halepensis,PIHAL_NACIMIENTO_M,PIHAL_MED,32,"Cambisoles éutricos, Regosoles éutricos y Luvisoles crómicos con Litosoles",LPliRGeu/LVcrPHle,LPliRGeu,LVcrPHle,Leptosoles líticos,Regosoles eútricos,Luvisoles crómicos,Phaeozems lépticos,
halepensis,PIHAL_RAGUA_H,PIHAL_HIGH,32,"Cambisoles éutricos, Regosoles éutricos y Luvisoles crómicos con Litosoles",RGeuRGle/LPli,RGeuRGle,LPli,Regosoles eútricos,Regosoles lépticos,Leptosoles líticos,,
pinaster,PIPIN_LANTEIRA_L2,PIPIN_DEC,1,Fluvisoles éutricos y Cambisoles éutricos,RGeuRGle/CMeuLPliPHha,RGeuRGle,CMeuLPliPHha,Regosoles eútricos,Regosoles lépticos,Cambisoles eútricos,Leptosoles líticos,Phaeozems háplicos
pinaster,PIPIN_JEREZ_L,PIPIN_LOW,1,Fluvisoles éutricos y Cambisoles éutricos,CMeuRGeu/LPliRGle,CMeuRGeu,LPliRGle,Cambisoles eútricos,Regosoles eútricos,Leptosoles líticos,Regosoles lépticos,
pinaster,PIPIN_JEREZ_M,PIPIN_MED,32,"Cambisoles éutricos, Regosoles éutricos y Luvisoles crómicos con Litosoles",RGeu/CMeuPHleRGdy,RGeu,CMeuPHleRGdy,Regosoles eútricos,,Cambisoles eútricos,Phaeozems lépticos,Regosoles dístricos
pinaster,PIPIN_JEREZ_H,PIPIN_HIGH,32,"Cambisoles éutricos, Regosoles éutricos y Luvisoles crómicos con Litosoles",CMeuRGeu/CMcrCMdyPHle,CMeuRGeu,CMcrCMdyPHle,Cambisoles eútricos,Regosoles eútricos,Cambisoles crómicos,Cambisoles dístricos,Phaeozems lépticos
nigra,PINIG_LANTEIRA_L2,PINIG_LOW,1,Fluvisoles éutricos y Cambisoles éutricos,CMeuRGeu/LPliRGle,CMeuRGeu,LPliRGle,Cambisoles eútricos,Regosoles eútricos,Leptosoles líticos,Regosoles lépticos,
nigra,PINIG_LANTEIRA_M,PINIG_MED,1,Fluvisoles éutricos y Cambisoles éutricos,CMeuRGeu/LPliRGle,CMeuRGeu,LPliRGle,Cambisoles eútricos,Regosoles eútricos,Leptosoles líticos,Regosoles lépticos,
nigra,PINIG_LANTEIRA_H,PINIG_HIGH,32,"Cambisoles éutricos, Regosoles éutricos y Luvisoles crómicos con Litosoles",RGeuRGle/CMeuLPliPHha,RGeuRGle,CMeuLPliPHha,Regosoles eútricos,Regosoles lépticos,Cambisoles eútricos,Leptosoles líticos,Phaeozems háplicos
sylvestris,PISYL_PORTUGOS_L,PISYL_LOW,32,"Cambisoles éutricos, Regosoles éutricos y Luvisoles crómicos con Litosoles",RGeu/CMeuPHleRGdy,RGeu,CMeuPHleRGdy,Regosoles eútricos,Cambisoles eútricos,Phaeozems lépticos,Regosoles dístricos,
sylvestris,PISYL_PORTUGOS_M,PISYL_MED,32,"Cambisoles éutricos, Regosoles éutricos y Luvisoles crómicos con Litosoles",RGeu/CMeuPHleRGdy,RGeu,CMeuPHleRGdy,Regosoles eútricos,Cambisoles eútricos,Phaeozems lépticos,Regosoles dístricos,
sylvestris,PISYL_PORTUGOS_H,PISYL_HIGH,32,"Cambisoles éutricos, Regosoles éutricos y Luvisoles crómicos con Litosoles",PHle/CMeuUMle,PHle,CMeuUMle,Phaeozems lépticos,Cambisoles eútricos,Umbrisoles lépticos,,
