point1,point2,distance
1,1,0
1,2,41459.6385736474
1,3,41325.1289976064
1,4,41118.8994605623
1,5,40657.4804971139
1,6,44773.5970999878
1,7,45950.4127969577
1,8,45648.8182701086
1,9,56508.0067047151
1,10,56623.5438397907
1,11,57285.4403047748
1,12,2607.49857113978
1,13,33662.9676575225
2,1,41459.6385736474
2,2,0
2,3,599.755241195861
2,4,1275.42198856088
2,5,1605.42318872476
2,6,5041.85996628394
2,7,4662.57724502682
2,8,4440.26901891307
2,9,24808.6560302192
2,10,24572.7501972152
2,11,24522.1532155521
2,12,40108.3319852339
2,13,9060.51804103538
3,1,41325.1289976064
3,2,599.755241195861
3,3,0
3,4,1820.76099567601
3,5,1049.42408739856
3,6,4695.40947887388
3,7,4668.9013324324
3,8,4799.19091398879
3,9,25397.0350960794
3,10,25158.991493406
3,11,25102.3410021991
3,12,39942.1511922862
3,13,8681.88908338016
4,1,41118.8994605623
4,2,1275.42198856088
4,3,1820.76099567601
4,4,0
4,5,2642.31841603868
4,6,6241.56280405437
4,7,5459.65609065439
4,8,4533.34786672757
4,9,23861.0842599285
4,10,23641.0076842904
4,11,23630.3954500808
4,12,39836.1718306565
4,13,9386.1033148407
5,1,40657.4804971139
5,2,1605.42318872476
5,3,1049.42408739856
5,4,2642.31841603868
5,5,0
5,6,4724.17938065734
5,7,5297.59553560129
5,8,5780.94776725262
5,9,26405.0648528475
5,10,26171.86102116
5,11,26125.8712166467
5,12,39231.3555578141
5,13,7742.23943454027
6,1,44773.5970999878
6,2,5041.85996628394
6,3,4695.40947887388
6,4,6241.56280405437
6,5,4724.17938065734
6,6,0
6,7,2943.40479332955
6,8,5583.73839944669
6,9,27453.8008857274
6,10,27148.2399010805
6,11,26915.2085417703
6,12,43223.7263592924
6,13,11195.3444888345
7,1,45950.4127969577
7,2,4662.57724502682
7,3,4668.9013324324
7,4,5459.65609065439
7,5,5297.59553560129
7,6,2943.40479332955
7,7,0
7,8,2880.99653013421
7,9,24578.390549209
7,10,24263.6205303241
7,11,24008.9202140815
7,12,44528.7151808524
7,13,12841.39155989
8,1,45648.8182701086
8,2,4440.26901891307
8,3,4799.19091398879
8,4,4533.34786672757
8,5,5780.94776725262
8,6,5583.73839944669
8,7,2880.99653013421
8,8,0
8,9,21893.441343564
8,10,21596.9769306364
8,11,21395.699635127
8,12,44369.0547999715
8,13,13479.0898836869
9,1,56508.0067047151
9,2,24808.6560302192
9,3,25397.0350960794
9,4,23861.0842599285
9,5,26405.0648528475
9,6,27453.8008857274
9,7,24578.390549209
9,8,21893.441343564
9,9,0
9,10,499.576989680968
9,11,1551.0603832381
9,12,56147.6207157261
9,13,32427.5771261988
10,1,56623.5438397907
10,2,24572.7501972152
10,3,25158.991493406
10,4,23641.0076842904
10,5,26171.86102116
10,6,27148.2399010805
10,7,24263.6205303241
10,8,21596.9769306364
10,9,499.576989680968
10,10,0
10,11,1080.61954276823
10,12,56240.7932173783
10,13,32270.2970728768
11,1,57285.4403047748
11,2,24522.1532155521
11,3,25102.3410021991
11,4,23630.3954500808
11,5,26125.8712166467
11,6,26915.2085417703
11,7,24008.9202140815
11,8,21395.699635127
11,9,1551.0603832381
11,10,1080.61954276823
11,11,0
11,12,56863.2415698869
11,13,32397.2116760478
12,1,2607.49857113978
12,2,40108.3319852339
12,3,39942.1511922862
12,4,39836.1718306565
12,5,39231.3555578141
12,6,43223.7263592924
12,7,44528.7151808524
12,8,44369.0547999715
12,9,56147.6207157261
12,10,56240.7932173783
12,11,56863.2415698869
12,12,0
12,13,32054.6449152254
13,1,33662.9676575225
13,2,9060.51804103538
13,3,8681.88908338016
13,4,9386.1033148407
13,5,7742.23943454027
13,6,11195.3444888345
13,7,12841.39155989
13,8,13479.0898836869
13,9,32427.5771261988
13,10,32270.2970728768
13,11,32397.2116760478
13,12,32054.6449152254
13,13,0
